bookKey;bookTitle;year;annoKey;pageLabel;path;position;Column8;pageIndex;Rect;r0;r1;r2;r3
3Z43TWAE;Implantate in der Chirurgie - Update 2015;2015;CI6KKQ9C;56;C:\Users\annik\Zotero\storage\TFHQRMG7\Otto - 2015 - Implantate in der Chirurgie - Update 2015.pdf;"{""pageIndex"":6,""rects"":[[312.82,583.705,555.068,784.122]]}";Otto - 2015 - Implantate in der Chirurgie - Update 2015.pdf;6;312.82,583.705,555.068,784.122;312.82;583.705;555.068;784.122
JSURF64I;Arbeitsbuch Anatomie und Physiologie für Pflege- und andere Gesundheitsfachberufe;2016;XVDP85EX;320;C:\Users\annik\Zotero\storage\8BYAU65A\Buchscan_JSURF64I.pdf;"{""pageIndex"":4,""rects"":[[22.497,327.513,585.037,752.072]]}";Buchscan_JSURF64I.pdf;4;22.497,327.513,585.037,752.072;22.497;327.513;585.037;752.072
6X3865W2;Prisma Biologie - Naturphänomene und Technik;2016;M2T87GJT;2016;C:\Users\annik\Zotero\storage\ZIX2TSQS\Buchscan_6X3865W2.pdf;"{""pageIndex"":3,""rects"":[[40.604,87.034,548.825,633.393]]}";Buchscan_6X3865W2.pdf;3;40.604,87.034,548.825,633.393;40.604;87.034;548.825;633.393
6X3865W2;Prisma Biologie - Naturphänomene und Technik;2016;8BPHR4ZT;2017;C:\Users\annik\Zotero\storage\ZIX2TSQS\Buchscan_6X3865W2.pdf;"{""pageIndex"":4,""rects"":[[39.355,506.598,551.947,776.942]]}";Buchscan_6X3865W2.pdf;4;39.355,506.598,551.947,776.942;39.355;506.598;551.947;776.942
6X3865W2;Prisma Biologie - Naturphänomene und Technik;2016;FEJSV8BB;2018;C:\Users\annik\Zotero\storage\ZIX2TSQS\Buchscan_6X3865W2.pdf;"{""pageIndex"":5,""rects"":[[44.974,104.048,287.222,751.76]]}";Buchscan_6X3865W2.pdf;5;44.974,104.048,287.222,751.76;44.974;104.048;287.222;751.76
6X3865W2;Prisma Biologie - Naturphänomene und Technik;2016;UY5EUVP6;2019;C:\Users\annik\Zotero\storage\ZIX2TSQS\Buchscan_6X3865W2.pdf;"{""pageIndex"":6,""rects"":[[36.857,583.861,550.074,776.786]]}";Buchscan_6X3865W2.pdf;6;36.857,583.861,550.074,776.786;36.857;583.861;550.074;776.786
INDQBXBD;Thiemes Altenpflege in Lernfeldern;2018;3RJ2EMG7;405;C:\Users\annik\Zotero\storage\GSS2I4FW\Buchscan_INDQBXBD.pdf;"{""pageIndex"":3,""rects"":[[26.868,33.236,427.076,233.028]]}";Buchscan_INDQBXBD.pdf;3;26.868,33.236,427.076,233.028;26.868;33.236;427.076;233.028
INDQBXBD;Thiemes Altenpflege in Lernfeldern;2018;NHYJD7TK;408;C:\Users\annik\Zotero\storage\GSS2I4FW\Buchscan_INDQBXBD.pdf;"{""pageIndex"":6,""rects"":[[175.463,24.912,579.418,226.577]]}";Buchscan_INDQBXBD.pdf;6;175.463,24.912,579.418,226.577;175.463;24.912;579.418;226.577
INDQBXBD;Thiemes Altenpflege in Lernfeldern;2018;74KD8FQ2;409;C:\Users\annik\Zotero\storage\GSS2I4FW\Buchscan_INDQBXBD.pdf;"{""pageIndex"":7,""rects"":[[16.254,463.414,202.31,789.949]]}";Buchscan_INDQBXBD.pdf;7;16.254,463.414,202.31,789.949;16.254;463.414;202.31;789.949
N5QXI8PQ;Rechtsfragen medizinischer Intervention bei intersexuell geborenen Minderjährigen;2020;R63YPR5M;42;C:\Users\annik\Zotero\storage\6HNS2GDY\Buchscan_N5QXI8PQ.pdf;"{""pageIndex"":15,""rects"":[[101.79,316.171,541.957,766.952]]}";Buchscan_N5QXI8PQ.pdf;15;101.79,316.171,541.957,766.952;101.79;316.171;541.957;766.952
N5QXI8PQ;Rechtsfragen medizinischer Intervention bei intersexuell geborenen Minderjährigen;2020;6VCP2Q96;43;C:\Users\annik\Zotero\storage\6HNS2GDY\Buchscan_N5QXI8PQ.pdf;"{""pageIndex"":16,""rects"":[[68.075,416.9,497.004,767.785]]}";Buchscan_N5QXI8PQ.pdf;16;68.075,416.9,497.004,767.785;68.075;416.9;497.004;767.785
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;EK5YN5FA;4;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":3,""rects"":[[34.32,57.492,577.133,334.992]]}";Buchscan_UJ9ZXK7A.pdf;3;34.32,57.492,577.133,334.992;34.32;57.492;577.133;334.992
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;JAM2JBQM;5;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":4,""rects"":[[284.5546889305115,471.187,567.68,764.625]]}";Buchscan_UJ9ZXK7A.pdf;4;284.5546889305115,471.187,567.68,764.625;284.5546889;471.187;567.68;764.625
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;L2PIHTNA;6;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":5,""rects"":[[39.46590770374644,50.284,583.557,745.966]]}";Buchscan_UJ9ZXK7A.pdf;5;39.46590770374644,50.284,583.557,745.966;39.4659077;50.284;583.557;745.966
UJ9ZXK7A;Allgemeine Anatomie und Bewegungssystem;2022;2A5JPB7P;7;C:\Users\annik\Zotero\storage\GAIU8N8D\Buchscan_UJ9ZXK7A.pdf;"{""pageIndex"":6,""rects"":[[20.413,64.25,570.163,767.063]]}";Buchscan_UJ9ZXK7A.pdf;6;20.413,64.25,570.163,767.063;20.413;64.25;570.163;767.063
